epoch,train_loss,dice,iou,sensitivity,precision
1,0.6576036365623962,0.8510813380574797,0.786923000042737,0.8504321115149444,0.9118934093099932
2,0.2138053247889434,0.8663236191946334,0.8042887050423038,0.8795485044223669,0.9101661664734986
3,0.14753480076474706,0.8733209470169252,0.8117973466843478,0.8662398117957948,0.9313346979564894
4,0.1326283800251431,0.8794881406769877,0.8197378200724665,0.8800731084437619,0.9304998191869835
5,0.11592895669471666,0.8859935937705536,0.8286529572396695,0.8902801241462559,0.9213297324996013
6,0.11245749195173965,0.8868385508490317,0.8297489629192867,0.8790843870393849,0.9431896107790638
7,0.0969408778466302,0.8847311893581901,0.8281211904821343,0.8884169824393708,0.925095957340361
8,0.08146294546503119,0.885564245425813,0.8304858269781873,0.8880357296696828,0.9331122673355514
9,0.0589021500898711,0.8891934836701392,0.8363433976913032,0.8938999952972602,0.9256790847029385
10,0.03318549021008199,0.8843373590528566,0.8302733127798556,0.8770547937465923,0.9417838688216695
11,0.018662223474963227,0.8819803931524166,0.8274082368093199,0.8725987813822401,0.9411225756400958
12,0.006911298481588448,0.8822590496109737,0.8290396370570983,0.8773011351630038,0.9330658768235242
13,-0.004423117673906058,0.8816832737054189,0.8291787881008199,0.8783240415891508,0.9358568766837959
14,-0.007496394613922736,0.8777150606514189,0.8231677505526209,0.8618358469563874,0.9493897386519666
15,-0.010029835669592868,0.8777243272840003,0.8232211714048502,0.870065715083788,0.9398630435282368
16,-0.01673366063395597,0.8775072770004511,0.8241682060985531,0.8681736493609465,0.940347548076216
17,-0.019125408796981536,0.8817402528785862,0.82696826352312,0.865322316408185,0.9492539489247098
18,-0.026450695290103115,0.8815920925854972,0.8275914816151211,0.8753374748028898,0.9365239165529442
19,-0.029578464463983455,0.8825581025117558,0.82979323469504,0.8812528748885766,0.9317642747247973
20,-0.02986633278732764,0.8816842858447628,0.8275788651440001,0.8782755226817771,0.9298161844477113
