protocol,batches,dice,iou,sensitivity,precision
F144_raw_target_batch_mean,269,0.8739121036680214,0.8125190277026488,0.8881342224361285,0.911338925250844
F146_raw_target_robust_batch_mean,269,0.873912103065324,0.8125190255180827,0.8881342204138747,0.9113389235218079
