protocol,metric,measured,historical_reference,difference
F144_raw_target_batch_mean,dice,0.8739121036680214,0.870626557933742,0.003285545734279416
F144_raw_target_batch_mean,iou,0.8125190277026488,0.8106592358179591,0.0018597918846897654
F144_raw_target_batch_mean,sensitivity,0.8881342224361285,0.8844656097536089,0.003668612682519612
F144_raw_target_batch_mean,precision,0.911338925250844,0.9143334380091345,-0.002994512758290435
F146_raw_target_robust_batch_mean,dice,0.873912103065324,0.870626554684659,0.003285548380664971
F146_raw_target_robust_batch_mean,iou,0.8125190255180827,0.8106592314171444,0.0018597941009383945
F146_raw_target_robust_batch_mean,sensitivity,0.8881342204138747,0.8844656075979261,0.0036686128159485465
F146_raw_target_robust_batch_mean,precision,0.9113389235218079,0.914333437139753,-0.002994513617945116
