site,samples,dice,iou,sensitivity,precision
Singapore,144,0.847689675592791,0.7776064439638621,0.8418027621066256,0.9019376604618498
Amsterdam,249,0.9219411209686821,0.8802695117665675,0.9388836503107916,0.9162694971346734
Utrecht,144,0.831150083589683,0.7497249019237633,0.8856031451562533,0.8134819587434222
